Key,english
xuiOptionsControlsLookSensitivity,Look sensitivity
xuiOptionsControlsLookSensitivityTooltip,Sensitivity of mouse when moving the camera around
xuiOptionsControlsNewBinding,Assign new binding
xuiOptionsControlsShowDS4,Controller type
xuiOptionsControlsShowDS4Tooltip,Select what type of controller you want to view the bindings for.
xuiOptionsControlsShowMenuBindings,Bindings for
xuiOptionsControlsShowMenuBindingsTooltip,Select whether you want to view the UI / menu bindings or in-game bindings.
xuiOptionsControlsVehicleSensitivity,Vehicle sensitivity
xuiOptionsControlsVehicleSensitivityTooltip,Sensitivity of mouse when moving the camera around while driving vehicles.
xuiOptionsControlsWeaponAiming,Weapon Aiming
xuiOptionsControlsWeaponAimingTooltip,"Select how aiming down a weapon (iron sights or scopes) is done.\nHold: You have to keep the aim button pressed as long as you aim.\nHold and Toggle: Tap the aim button to toggle aiming, keep it pressed to only aim as long as you press it."
xuiOptionsControlsZoomSensitivity,Zoom sensitivity
xuiOptionsControlsZoomSensitivityTooltip,Sensitivity of mouse when aiming down the sights
xuiRemoveBinding,Remove Binding
xuiWeaponAimingComboOff,Hold
xuiWeaponAimingComboOn,Hold and Toggle
xuiConnectToServer,เข้าร่วมเกม
xuiContinueGame,เล่นเกมต่อ
xuiCredits,เครดิต
xuiNewGame,เริ่มเกมใหม่
xuiOptions,ตั้งค่า
xuiQuit,ออกจากเกม
xuiBoolCelsiusOff,°F
xuiBoolCelsiusOn,°C
xuiComboOnOffOff,ปิด
xuiComboOnOffOn,เปิด
xuiComboYesNoOff,ไม่
xuiComboYesNoOn,ใช่
xuiBtnOptionsAccount,ชื่อผู้เล่น
xuiBtnOptionsAudio,เสียง
xuiBtnOptionsControls,ควบคุม
xuiBtnOptionsProfiles,โปรไฟล์ผู้เล่น
xuiBtnOptionsVideo,วิดีโอ
xuiServerBrowser,Server Browser
xuiServerBrowserConnect,Connect
xuiServerBrowserDirectConnect,Connect to IP...
xuiServerBrowserDirectConnectTitle,Connect to IP
xuiServerBrowserEACTooltip,Requires active EAC
xuiServerBrowserFailedRetrievingData,[FF0000][U]Failed retrieving server information![/U]\n[FF4F00]Other data shown will be incorrect.\nServer might need a restart to work properly.
xuiServerBrowserIp,IP
xuiServerBrowserPasswordTooltip,Requires password
xuiServerBrowserPlayersTooltip,Active players
xuiServerBrowserPort,Port
xuiServerBrowserServerName,Server name
xuiServerBrowserShowFiltersTooltip,Show Filters
xuiServerBrowserToggleFavoriteTooltip,Toggle Favorite
xuiServerBrowserTypeDedicatedTooltip,Dedicated Servers
xuiServerBrowserTypeFriendsTooltip,Friends
xuiServerBrowserTypeHistoryTooltip,Favorites & History
xuiServerBrowserTypeLANTooltip,LAN Games
xuiServerBrowserTypePeerTooltip,Peer-to-Peer games
xuiServerBrowserWorldName,World
xuiServerEacNeeded,EAC required
xuiServerEacNeededText,You are trying to connect to an Anti Cheat protected server without Anti Cheat protection enabled.\nPlease restart the game with Anti Cheat protection enabled and connect again!
xuiServerFilterResults,Results:
xuiServerFilters,Filters
xuiServerFiltersReset,Reset Filters
xuiServerPassword,Server Password
xuiServerPasswordIncorrect,Invalid Password. Please Retry.
xuiServerPasswordNormal,Enter Server Password
xuiShowPassword,Show Password
xuiSubmit,ยืนยัน
xuiOptionsVideoDynamicMeshDistance,Mesh Distance
xuiOptionsVideoDynamicMeshDistanceTooltip,Distance in meters to which the rendering of the Dynamic Mesh system can be viewed.
xuiOptionsVideoDynamicMeshEnabled,Dynamic Mesh Enabled
xuiOptionsVideoDynamicMeshEnabledTooltip,"REQUIRES RELOADING THE GAME FROM THE MAIN MENU\n
Enables or Disables the Dynamic Mesh System.\n
When Enabled, distant player buildings and POI destruction will show in the distance. "
xuiOptionsVideo,ตั้งค่าวิดีโอ
xuiOptionsVideoAntiAliasing,Anti-Aliasing
xuiOptionsVideoAntiAliasingSharp,AA Sharpening
xuiOptionsVideoAntiAliasingSharpTooltip,Amount of sharpening by temporal AA
xuiOptionsVideoAntiAliasingTooltip,Removes jagged edges from objects.\nTemporal is a more advanced effect.\nPerformance Impact: Medium
xuiOptionsVideoBloom,Bloom
xuiOptionsVideoBloomTooltip,A glow around brighter highlights.\nPerformance Impact: Medium\n
xuiOptionsVideoBrightness,Brightness
xuiOptionsVideoBrightnessTooltip,How bright the game is.
xuiOptionsVideoComplexityNormal,ปกติ
xuiOptionsVideoComplexityOff,ปิด
xuiOptionsVideoComplexitySimple,เรียบง่าย
xuiOptionsVideoDepthOfField,ความชัดลึก
xuiOptionsVideoDepthOfFieldTooltip,Distant objects get blurred.\nPerformance Impact: Medium\n
xuiOptionsVideoDisplay,Display
xuiOptionsVideoDistanceFar,ไกล
xuiOptionsVideoDistanceMiddle,กลาง
xuiOptionsVideoDistanceNear,ไกล้
xuiOptionsVideoDistanceNormal,ปกติ
xuiOptionsVideoDistanceOff,ปิด
xuiOptionsVideoDyMinFPS,Dynamic Resolution Min FPS
xuiOptionsVideoDyMinFPSTooltip,Dynamic resolution will scale down when below this FPS
xuiOptionsVideoDyMode,Dynamic Resolution Mode
xuiOptionsVideoDyModeAuto,ออโต
xuiOptionsVideoDyModeOff,ปิด
xuiOptionsVideoDyModeScale,สเกล
xuiOptionsVideoDyModeTooltip,Dynamic resolution decreases the 3d rendering resolution as needed to increase FPS
xuiOptionsVideoDyScale,Dynamic Resolution Scale
xuiOptionsVideoDyScaleTooltip,Dynamic resolution scaling factor if you want a fixed amount of down scaling
xuiOptionsVideoFieldOfView,Field of View
xuiOptionsVideoFieldOfViewTooltip,How wide your view angle is.\nPerformance Impact: Low\n
xuiOptionsVideoFullscreen,เต็มจอ
xuiOptionsVideoFullscreenExclusive,Exclusive
xuiOptionsVideoFullscreenOff,ปิด
xuiOptionsVideoFullscreenOn,เปิด
xuiOptionsVideoFullscreenTooltip,Run the game in fullscreen or windowed mode.\nPerformance Impact: Medium\n
xuiOptionsVideoGamma,Gamma
xuiOptionsVideoGammaTooltip,How bright the game is.\nPerformance Impact: None\n
xuiOptionsVideoGrassDistance,Grass Distance
xuiOptionsVideoGrassDistanceTooltip,The maximum distance at which you can see grass.\nPerformance Impact: Medium\n
xuiOptionsVideoJournalPopup,Journal Popup
xuiOptionsVideoJournalPopupTooltip,Show a window when receiving a new journal entry instead of a tooltip.
xuiOptionsVideoLODDistance,LOD Distance
xuiOptionsVideoLODDistanceTooltip,The overall maximum level of detail at which the world is displayed.\nPerformance Impact: High\n
xuiOptionsVideoMotionBlur,Motion Blur
xuiOptionsVideoMotionBlurTooltip,Quality level of motion blur (more pixel samples & smoothing).\nPerformance Impact: High\n
xuiOptionsVideoObjectQuality,Object Quality
xuiOptionsVideoObjectQualityTooltip,Overall detail of entities and trees based on how far away they are. Also the distance at which they will no longer be shown.\nPerformance Impact: High
xuiOptionsVideoOcclusion,Occlusion
xuiOptionsVideoOcclusionTooltip,Disables drawing of objects that are not visible. Boosts indoor performance.\nCannot be changed while in a game.\nPerformance Impact: Medium CPU\n
xuiOptionsVideoParticles,Particles
xuiOptionsVideoParticlesTooltip,The amount of particles.\nPerformance Impact: Medium to High
xuiOptionsVideoPresetsCustom,กำหนดเอง
xuiOptionsVideoPresetsHigh,สูง
xuiOptionsVideoPresetsLow,ต่ำ
xuiOptionsVideoPresetsLowest,ต่ำสุด
xuiOptionsVideoPresetsMedium,ปานกลาง
xuiOptionsVideoPresetsOff,ปิด
xuiOptionsVideoPresetsTemporal,Temporal
xuiOptionsVideoPresetsUltra,อัลตร้า
xuiOptionsVideoPresetsUltra+,อัลตร้า+
xuiOptionsVideoQuality,Quality
xuiOptionsVideoQualityPreset,Quality Preset
xuiOptionsVideoQualityPresetTooltip,Overall Graphics Quality.  Changes almost all settings.\nPerformance Impact: Very High\n
xuiOptionsVideoReflectedShadows,Reflected Shadows
xuiOptionsVideoReflectedShadowsTooltip,Shadows are processed and displayed inside reflections.\nPerformance Impact: High\n
xuiOptionsVideoReflectionQuality,Reflection Quality
xuiOptionsVideoReflectionQualityTooltip,How clear reflections are. Provides more realistic lighting.\nPerformance Impact: Very High\n
xuiOptionsVideoResolution,Resolution
xuiOptionsVideoResolutionTooltip,Sets the screen resolution at which the game is displayed.\nPerformance Impact: Very High\n
xuiOptionsVideoScreenBounds,UI Margin
xuiOptionsVideoScreenBoundsTooltip,Limits the area the UI uses on the screen.
xuiOptionsVideoShadowsDistance,Shadows Distance
xuiOptionsVideoShadowsDistanceTooltip,Quality and distance of object shadows.\nPerformance Impact: High\n
xuiOptionsVideoSSAO,SSAO
xuiOptionsVideoSSAOTooltip,Use the image effect SSAO which draws more detailed shadows on objects.\nPerformance Impact: Medium\n
xuiOptionsVideoSSReflections,SS Reflections
xuiOptionsVideoSSReflectionsTooltip,Use the screen space reflection effect.\nPerformance Impact: High\n
xuiOptionsVideoStreamingMipmapsEnabled,Texture Streaming
xuiOptionsVideoStreamingMipmapsEnabledTooltip,Enables streaming of textures to GPU for reduced memory use.\nMemory Reduction: Medium to High\nHigh Quality textures need this on or FPS may be low.
xuiOptionsVideoSunShafts,Sun Shafts
xuiOptionsVideoSunShaftsTooltip,Aka. God Rays.  Shines rays of light from the sun past obstructing objects.\nPerformance Impact: Medium\n
xuiOptionsVideoTempCelsius,Temp Unit
xuiOptionsVideoTempCelsiusTooltip,Unit to use when displaying temperatures.
xuiOptionsVideoTerrainQuality,Terrain Quality
xuiOptionsVideoTerrainQualityTooltip,Overall quality and distance of the terrain.\nDistance will not update while playing a game.\nPerformance Impact: High
xuiOptionsVideoTexQualityEighth,Eighth
xuiOptionsVideoTexQualityFull,Full
xuiOptionsVideoTexQualityHalf,Half
xuiOptionsVideoTexQualityQuarter,Quarter
xuiOptionsVideoTextureFilter,Texture Filter
xuiOptionsVideoTextureFilterTooltip,Sets the filter strength to make nicer blending.\nPerformance Impact: Medium to High\n
xuiOptionsVideoTextureQuality,Texture Quality
xuiOptionsVideoTextureQualityTooltip,Saves video memory and performance by setting the texture resolution.\nPerformance Impact: Medium to High\n
xuiOptionsVideoUI,UI
xuiOptionsVideoUIBackgroundOpacity,UI Background Opacity
xuiOptionsVideoUIBackgroundOpacityTooltip,UI wallpaper/background opacity/transparency.
xuiOptionsVideoUIForegroundOpacity,UI Foreground Opacity
xuiOptionsVideoUIForegroundOpacityTooltip,UI outlines and icon opacity/transparency.
xuiOptionsVideoUiFpsScaling,FPS display scale
xuiOptionsVideoUiFpsScalingTooltip,"Scale the size of the FPS display in game, e.g. for better readability in videos/streams or a less obstructed view."
xuiOptionsVideoUiSize,UI ขนาด
xuiOptionsVideoUiSizeTooltip,Scales down all UI elements.
xuiOptionsVideoUMATextureQuality,UMA Texture Quality
xuiOptionsVideoUMATextureQualityTooltip,Controls the texture baking size of UMA characters.
xuiOptionsVideoViewDistance,View Distance
xuiOptionsVideoViewDistanceTooltip,How far the world can be viewed.\nCannot be changed while in a game.\nPerformance Impact: High\n
xuiOptionsVideoVSync,วีซิงค์
xuiOptionsVideoVsyncHalf,Half
xuiOptionsVideoVsyncOff,ปิด
xuiOptionsVideoVsyncOn,เปิด
xuiOptionsVideoVSyncTooltip,Combats screen tearing by synchronizing the game to the monitor's refresh rate.\nPerformance Impact: Low\n
xuiOptionsVideoWaterQuality,Water Quality
xuiOptionsVideoWaterQualityTooltip,Layers and effects occurring on surface of water planes.\nPerformance Impact: Low\n
xuiBoolMaleOff,หญิง
xuiBoolMaleOn,ชาย
xuiCharacterColorFor,สี
xuiCharacterColorSlotEyebrow,คิ้ว
xuiCharacterColorSlotEyes,ดวงตา
xuiCharacterColorSlotHair,ผม
xuiCharacterColorSlotSkin,ผิว
xuiCharacterEyebrowStyle,สไตล์คิ้ว
xuiCharacterFacialHairStyle,Facial Hair
xuiCharacterGender,เพศ
xuiCharacterHairStyle,ทรงผม
xuiGameSettingsAdvanced,ขั้นสูง
xuiGameSettingsBasic,พื้นฐาน
xuiGameSettingsGeneral,ทั่วไป
xuiGameSettingsMultiplayer,ผู้เล่นหลายคน
xuiRandomize,สุ่ม
xuiCharacterSettings,ตั้งค่าตัวละคร
xuiCreateProfileHeader,Name for new profile
xuiDeleteProfile,Delete selected profile?
xuiDnaSliders,คุณลักษณะ
xuiOptionsProfiles,โปรไฟล์ผู้เล่น
xuiPreview,ตัวอย่าง
xuiProfileCreate,สร้าง
xuiProfileDelete,ลบ
xuiProfileEdit,แก้ไข้
xuiProfilesDeleteConfirmation,Are you sure you want to delete the profile\n[FFEB04]{0}[-]?
dnaBeard_male_beard_long_handlebar,Long Handlebar
dnaBeard_male_beard_walrus,Walrus
dnaBeard_male_beast_beard,Beast Beard
dnaBeard_male_lawman_mustache,Lawman Mustache
dnaBeard_male_mountain_man_beard,Mountain Man Beard
dnaBeard_male_regent_mustache,Regent Mustache
dnaBeard_male_shaggy_beard,Shaggy Beard
dnaBeard_male_shaggy_goatee,Shaggy Goatee
dnaBeard_male_spaniard_goatee,Spaniard Goatee
dnaBeard_male_wizard_beard,Wizard Beard
dnaBeard_none,ไม่
dnaEyebrow_f_eyebrows_angled,Angled
dnaEyebrow_f_eyebrows_curve,Curved
dnaEyebrow_f_eyebrows_flat,Flat
dnaEyebrow_f_eyebrows_round,Round
dnaEyebrow_m_eyebrows_angled,Angled
dnaEyebrow_m_eyebrows_curve,Curved
dnaEyebrow_m_eyebrows_flat,Flat
dnaEyebrow_m_eyebrows_round,Round
dnaEyebrow_none,ไม่
dnaHair_female_base_hair,Base
dnaHair_female_hair_bun,Bun
dnaHair_female_hair_buns,Buns
dnaHair_female_hair_choppy,Choppy
dnaHair_female_hair_edgy,Edgy
dnaHair_female_hair_long,Long
dnaHair_female_hair_ponytail03,Ponytail 3
dnaHair_female_hair_shaggy02,Shaggy 2
dnaHair_female_mohawk,โมฮอว์ก
dnaHair_female_ponytail,Ponytail
dnaHair_female_shaggy_hair,Shaggy
dnaHair_female_sideshave_hair,Sideshaved
dnaHair_male_base_hair,Base
dnaHair_male_hair_bun,Bun
dnaHair_male_hair_long_pomp,Long Pomp
dnaHair_male_hair_pomp,Pomp
dnaHair_male_hair_short_shaggy,Short Shaggy
dnaHair_male_hair_sideshave_longtop,Sideshaved Longtop
dnaHair_male_mohawk,โมฮอว์ก
dnaHair_male_shaggy_hair,Shaggy
dnaHair_none,ไม่
dnaHair_unisex_hair_afro,แอฟโฟร
dnaHair_unisex_hair_dreads,Dreads
dnaHair_unisex_hair_raider,Raider
dnaHair_unisex_viking_braid,Viking Braid
dnaSetting_breastSize,Breast Size
dnaSetting_cheekPosition,Cheek Position
dnaSetting_cheekSize,Cheek Size
dnaSetting_chinPosition,Chin Position
dnaSetting_chinPronounced,Chin Pronounced
dnaSetting_chinSize,Chin Size
dnaSetting_earsPosition,Ears Position
dnaSetting_earsRotation,Ears Rotation
dnaSetting_earsSize,Ears Size
dnaSetting_eyeSize,Eye Size
dnaSetting_feetSize,Feet Size
dnaSetting_foreheadPosition,Forehead Position
dnaSetting_foreheadSize,Forehead Size
dnaSetting_gluteusSize,Gluteus Size
dnaSetting_handsSize,ขนาดมือ
dnaSetting_headSize,ขนาดหัว
dnaSetting_headWidth,Head Width
dnaSetting_height,Height
dnaSetting_jawsPosition,Jaws Position
dnaSetting_jawsSize,Jaws Size
dnaSetting_legsSize,Legs Size
dnaSetting_lipsSize,Lips Size
dnaSetting_lowCheekPosition,Low Cheek Position
dnaSetting_lowCheekPronounced,Low Cheek Pronounced
dnaSetting_mandibleSize,Mandible Size
dnaSetting_mouthSize,Mouth Size
dnaSetting_muscle,Muscles
dnaSetting_noseCurve,Nose Curve
dnaSetting_noseFlatten,Nose Flatten
dnaSetting_noseInclination,Nose Inclination
dnaSetting_nosePosition,Nose Position
dnaSetting_nosePronounced,Nose Pronounced
dnaSetting_noseSize,ขนาดจมูก
dnaSetting_noseWidth,Nose Width
dnaSetting_weight,น้ำหนัก
xuiSteamExit,ออกจากเกม
xuiSteamLogin,{0} Login
xuiSteamLoginFailure,Could not fully initialize {0}:
xuiSteamLoginReasonApiNotLoadable,{0} APIs could not be loaded.
xuiSteamLoginReasonNoFriendsName,Could not get your {0} display name.
xuiSteamLoginReasonNoLicense,No license for this game found.
xuiSteamLoginReasonNoLoginTicket,Not able to get login ticket from your platform.
xuiSteamLoginReasonNotLoggedOn,Not logged into {0} or running in Offline mode.
xuiSteamLoginReasonOk,{0} login ok.
xuiSteamLoginReasonOther,Not logged into {0} or running in Offline mode.
xuiSteamLoginReasonSteamNotRunning,The {0} client is not running or no connection possible.
xuiSteamLoginReasonUnknown,"Unknown issue, please report on the forums: {1}"
xuiSteamPlayOffline,Play Offline
xuiSteamRetryLogin,Retry
xuiOptionsUsername,Set Player Name
xuiUsernameLabel,Player Name:
xuiOptionsVideoRestartRequiredText,Changes to the texture quality only become active after a restart of the game.
xuiOptionsVideoRestartRequiredTextNowLater,"Changes to the texture quality only become active after a restart of the game.\nClick OK to restart right now, cancel to keep running with the current quality."
xuiOptionsVideoRestartRequiredTitle,Restart required
mmBtnSelect,เลือก
mmLblNameErrorDefault,Default' not allowed!
mmLblNameErrorEmpty,Game name must not be empty!
mmLblNameErrorExists,A savegame with that name already exists for the selected world!
mmLblNameErrorInvalid,Invalid Game Name
mmLblErrorServerInit,Error Initializing Server
waitingForServer,กำลังรอเซิร์ฟเวอร์...
mmTextName,ชื่อ
gmSurvivalMPDesc,::Survival MP::\nFight against other players or band together to survive the zombie apocalypse earning land claims to protect your fort against other players. New players start with a Land Claim Block and additional ones can be found in rare loot or in air dropped supplies.
gmSurvivalSPDesc,::เอาชีวิตรอด SP::\nเล่นคนเดียวกับฝูงซอมบี้ที่สำรวจนาเวซเกนเคาน์ตี้แอริโซนา เพื่อเปิดเผยความจริงเบื้องหลังสิ่งที่เกิดขึ้น
mohawk,Mohawk
none,ไม่มี
xuiBack,กลับ
xuiBurntForest,Burnt Forest
xuiCreateWorld,สร้างโลก
xuiCreateWorldLoadWorld,โหลดโลก:
xuiCreateWorldName,ชื่อ:
xuiCreateWorldNewWorld,สร้างโลกใหม่:
xuiCreateWorldSize,ขนาด:
xuiDesert,Desert
xuiGenerateWorld,Generate World
xuiPineForest,Pine Forest
xuiSnow,หิมะ
xuiStart,เริ่มเกม
xuiWasteland,ดินแดนรกร้าง
xuiWorldGenerationCountryRoads,Generating Country Roads
xuiWorldGenerationCounty,Generating county '{0}' using world seed '{1}'. World size ({2}x{2})
xuiWorldGenerationDetailBiomeData,Generating Detail Biome Data\n{0}%
xuiWorldGenerationDetailHeightData,Generating Detail Height Data\n{0}%
xuiWorldGenerationExists,"World '{0}' already exists, loading world data"
xuiWorldGenerationFinal,"Data generation took {0} minutes, {1} seconds"
xuiWorldGenerationGenerating,Generating {0}
xuiWorldGenerationSocketData,Generating Socket Data
xuiWorldGenerationSocketGenerationFinal,Socket data generation took {0} minutes {1} seconds
xuiWorldGenerationSocketHeightData,Generating Socket Height Data\n{0}%
xuiWorldGenerationTowns,กำลังสร้างเมือง
xuiWorldGenerationWater,Generating Water Data\n{0}%
xuiWorldGenerationWildernessPOIs,Generating Wilderness POIs
xuiWorldGenerationWritingBiome,Writing biome data\n{0}%
xuiWorldGenerationWritingRadiation,Writing radiation data\n{0}%
xuiWorldGenerationWritingRoadmap,Writing roadmap\n{0}%
xuiWorldGenerationWritingTerrain,Writing terrain data\n{0}%
xuiWorldGenerationWritingTerrainToFile,Writing terrain to file\n{0}%
xuiWorldSeed,สุ่มแผนที่
xuiWorldSize,ขนาดของโลก
xuiBuffStatDays,วัน
xuiBuffStatDuration,ระยะเวลา
xuiBuffStatHours,HRS
xuiBuffStatTimeLeft,Time Left
TestCubeA,Test Cube A (Block Faces)
TestCubeC,Test Cube C (Block Faces)
TestCubeO,Test Cube O (Block Faces)
TestCubeP,Test Cube P (Block Faces)
TestCubeY,Test Cube Y (Block Faces)
buffClumsyRunnerDesc,ความรวดเร็วนั้นยอดเยี่ยม แต่คุณควรระวังให้มากขึ้นว่าวางเท้าไปที่ใด.
buffClumsyRunnerName,นักวิ่งซุ่มซ่าม
buffClumsyRunnerTooltip,คุณรวดเร็ว แต่ระวังการก้าวขาของคุณ!
buffFatiguedDesc,คุณเหนื่อยล้าและได้รับความเสียหายเพิ่มขึ้น 10% จากการโจมตีทั้งหมด\nกินวิตามินเพื่อรักษาสิ่งนี้\n\nสุขภาพสูงสุดของคุณลดลง {cvar(.WeakenedHealthBlockage:0.0)}.
buffFatiguedName,เหนื่อยล้า
buffFatiguedTooltip,คุณรู้สึกอ่อนแอ.
buffHeadShotsOnlyDesc,คุณไม่ได้ดูหนังซอมบี้บ้างหรือไง เล็งไปที่หัวสิ! นั่นเป็นทางเดียวเท่านั้นที่จะมั่นใจ.
buffHeadShotsOnlyName,ยิงหัวเท่านั้น
buffHeadShotsOnlyTooltip,เล็งไปที่หัว!
buffMeleePreferredDesc,ความเสียหายระยะประชิด +150%\nความเสียหายระยะไกล 0\nความเสียหายที่ได้รับ -20%
buffMeleePreferredName,ต้องการระยะประชิด
buffMeleePreferredTooltip,คุณรู้สึกเหมือนได้ใกล้ชิดและเป็นส่วนตัว!
buffStatusWoundedName,พลังชีวิตต่ำ
buffStatusWoundedTooltip,พลังชีวิตสูงสุดของคุณลดลง ปฐมพยาบาลเบื้องต้นเพื่อฟื้นฟู.
buffVolatileAuraDesc,ด้วยเหตุผลบางอย่าง ตำรวจจึงอยากวิ่งเข้าไปกอดคุณ.
buffVolatileAuraName,ออร่าระเหย
buffWatchYourAimDesc,บล็อคดาเมจ +700
buffWatchYourAimName,เล็งระวังๆหน่อย
buffWatchYourAimTooltip,ดูหน่อยสิ!
modMeleeGunToolDecapitizer,The Decapitizer
modMeleeGunToolDecapitizerDesc,คุณไม่ได้ใช้แขนขานั้นจริงๆ ใช่ไหม?
modVehicleMegaDesc,Megaliciously adds mega stuff.
resourceSteelPolish,Reinforced Steel Upgrade (deprecated)
sunblocker,Sunblocker
sunblockerDesc,มันถูโลชั่นบนผิวของมัน มันทำอย่างนี้ทุกครั้งที่มันบอก.
meleeWpnBatonT3PlasmaBaton,กระบองพลาสม่า
meleeWpnBatonT3PlasmaBatonDesc,อุปกรณ์ไฮเทคนี้ทำมาจากขยะสามารถทำลายโลหะและมีโอกาสแยกชิ้นส่วนเมื่อโจมตีแต่ละครั้ง.
meleeWpnBatonT3PlasmaBatonSchematic,แผนผังของกระบองพลาสม่า
gunAssemblyTip,"หากต้องการประกอบปืนหรือเครื่องมือที่ใช้เครื่องยนต์ หรืออัปเกรดด้วยชิ้นส่วนที่ดีกว่า คุณต้องมีชิ้นส่วนทั้งหมดในคลังของคุณและอ่านแผนผังแล้ว สร้างโดยเลือกส่วนในคลังของคุณและคลิกที่การกระทำ ""ประกอบ"" สูตรเหล่านี้จะไม่ปรากฏในเมนูการประดิษฐ์."
gunAssemblyTip_title,การประกอบไอเทม
tableSawTip,ใช้โต๊ะเลื่อยเพื่อปลดล็อกและสร้างสูตรของเครื่องใช้มากมายเพื่อปรับแต่งและตกแต่งฐานของคุณ.
tableSawTip_title,โต๊ะเลื่อย
factory_lg_01,โรงงานแชมเวย์
factory_lg_02,โรงงานผลิตปืนลูกซองเมสสิยาห์
trader_bob,เทรดเดอร์ บ๊อบ
trader_hugh,เทรดเดอร์ ฮิวจ์
trader_jen,เทรดเดอร์ เจน
trader_joel,เทรดเดอร์ โจเอล
trader_rekt,เทรดเดอร์ เร็กต์
reqAttributeLevelDummy,
perkChargingBullDesc,เชี่ยวชาญในการพุ่งเข้าใส่การต่อสู้ บุกทะลวงศัตรู และโจมตีทำลายกระดูกในระหว่างนั้น.
perkChargingBullName,กระทิงดุ
perkChargingBullRank1Desc,ตื่นตระหนก
perkChargingBullRank1LongDesc,สตันศัตรูเมื่อพุ่งเข้าหาพวกมัน สร้างความเสียหาย 10 ดาเมจ การโจมตีแต่ละครั้งจะใช้ค่า พละกำลัง 40 หน่วย10 damage. Each hit costs 40 stamina.
perkChargingBullRank2Desc,ทางหนีแคบๆ
perkChargingBullRank2LongDesc,ทำให้ศัตรูเดินโซเซเมื่อวิ่งเข้าไปจัดการ การโจมตีแต่ละครั้งจะใช้ค่า พละกำลัง 35 หน่วย.
perkChargingBullRank3Desc,ไหล่กว้าง
perkChargingBullRank3LongDesc,ทำให้ศัตรูล้มลงเมื่อพุ่งเข้าหาพวกเขา การโจมตีแต่ละครั้งใช้ พละกำลัง 30.
perkChargingBullRank4Desc,ไลน์แมนแนวรุก
perkChargingBullRank4LongDesc,การล้มลงจะสร้างความเสียหาย 20 ดาเมจ การโจมตีแต่ละครั้งจะใช้ค่า พละกำลัง 25 หน่วย.
perkChargingBullRank5Desc,กระทิงชาร์จ
perkChargingBullRank5LongDesc,การล้มลงสร้างความเสียหาย 30 ดาเมจ การโจมตีแต่ละครั้งใช้ค่า พละกำลัง 20 หน่วย.
perkFlameThrowerDesc,ปรมาจารย์การใช้เครื่องพ่นไฟและค็อกเทลโมโลโทฟ.
perkFlameThrowerName,ลุกเป็นไฟ!
perkFlameThrowerRank1Desc,อาวุธที่ใช้ไฟสร้างความเสียหายเพิ่มขึ้น 10% และมีรัศมีใหญ่ขึ้น 20%.
perkFlameThrowerRank2Desc,อาวุธที่ใช้ไฟสร้างความเสียหายเพิ่มขึ้น 20% และมีรัศมีใหญ่ขึ้น 40%.
perkFlameThrowerRank3Desc,อาวุธที่ใช้ไฟสร้างความเสียหายเพิ่มขึ้น 30% และมีรัศมีใหญ่ขึ้น 60%.
perkFlameThrowerRank4Desc,อาวุธที่ใช้ไฟสร้างความเสียหายเพิ่มขึ้น 40% และมีรัศมีใหญ่ขึ้น 80%.
perkFlameThrowerRank5Desc,อาวุธที่ใช้ไฟสร้างความเสียหายเพิ่มขึ้น 50% และมีรัศมีใหญ่ขึ้น 100%.
skillAgilityAthleticsDesc,ปรับปรุงความสามารถในการวิ่ง กระโดด และว่ายน้ำ.
skillAgilityStealthDesc,ปรับปรุงความสามารถในการรักษาสิ่งต่าง ๆ ซากศพของศัตรูของคุณยิ่งเงียบลง.
skillCombatPerksDesc,เพิ่มประสิทธิภาพในการต่อสู้.
skillFortitudeRecoveryDesc,ปรับปรุงอัตราที่คุณฟื้นฟูสุขภาพและความแข็งแกร่งของคุณตามธรรมชาติและด้วยอาหารและการรักษา.
skillFortitudeSurvivalDesc,ปรับปรุงความสามารถในการยักย้ายความเสียหายและต้านทานการบาดเจ็บและความเจ็บป่วย.
skillIntellectCraftsmanshipDesc,ประดิษฐ์อาวุธยุทโธปกรณ์ ชุดเกราะ เครื่องมือ ยานพาหนะ สารเคมี และการปฐมพยาบาล!
skillIntellectInfluenceDesc,ปรับปรุงความสามารถในการสร้างความสัมพันธ์กับกลุ่มต่างๆ ใน นาเวซเกน.
skillPerceptionScavengingDesc,เพิ่มทักษะของคุณในการต่อรองและค้นหาสิ่งของที่เป็นประโยชน์.
skillStrengthConstructionDesc,พัฒนาความสามารถในการขุดหาวัสดุที่คุณต้องการเพื่อสร้างป้อมปราการที่มั่นคง.
skillStrengthGeneralDesc,.....
lblMold,Mold
xuiBuffStatHealth,Health
xuiBuffStatModifierMax,[DECEA3]{1} สูงสุด {0}.[-]
xuiBuffStatModifierMaxForSeconds,[DECEA3]{1} สูงสุด {0} สำหรับ {2}[-]
xuiBuffStatModifierSetValueDec,{0}: [DECEA3]ลดลง {1}%[-]
xuiBuffStatModifierSetValueForSecondsDec,{0}: [DECEA3]decreased by {1}% for {2}.[-]
xuiBuffStatModifierSetValueForSecondsInc,{0}: [DECEA3]increased by {1}% for {2}.[-]
xuiBuffStatModifierSetValueInc,{0}: [DECEA3]increased by {1}%.[-]
xuiBuffStatModifierValueOT,{0}: [DECEA3]{1} every {2} second(s).[-]
xuiBuffStatModifierValueOTForSeconds,{0}: [DECEA3]{1} every {2} second(s) for {3}.[-]
